Xr,Yr,Zr,KFx,KFy,KFz,DRx,DRy,DRz
-6,1.05,-2.77,-6.004799674,1.054326009,-2.762263134,-6,1.05,-2.77
-6,1.05,-2.77,-6.010283447,1.050874412,-2.77059955,-6,1.05,-2.77
-6,1.05,-2.77,-6.006156951,1.049501954,-2.783608268,-6,1.05,-2.77
-6,1.05,-2.77,-5.981304313,1.064026685,-2.766885884,-6,1.05,-2.77
-6,1.05,-2.77,-5.980337648,1.050756957,-2.766148033,-6,1.05,-2.77
-6,1.05,-2.77,-5.984692629,1.058785802,-2.772098699,-6,1.05,-2.77
-6,1.05,-2.77,-6.008268901,1.036724406,-2.783413422,-6,1.05,-2.77
-6,1.05,-2.77,-6.011351985,1.039763449,-2.767389467,-6,1.05,-2.77
-6,1.05,-2.77,-6.004195423,1.051356928,-2.758868955,-6,1.05,-2.77
-6,1.05,-2.77,-6.005475256,1.044386406,-2.766187588,-6,1.05,-2.77
-6,1.05,-2.77,-5.997661059,1.050041828,-2.772315907,-6,1.05,-2.77
-6,1.05,-2.77,-5.989629207,1.048529823,-2.771423783,-6,1.05,-2.77
-6,1.05,-2.77,-5.985790706,1.046542171,-2.766001559,-6,1.05,-2.77
-6,1.05,-2.77,-5.99531925,1.049585667,-2.766937454,-6,1.05,-2.77
-6,1.05,-2.77,-5.995453783,1.052910889,-2.764455965,-6,1.05,-2.77
-6,1.05,-2.77,-5.99621798,1.05794003,-2.767817303,-6,1.05,-2.77
-6,1.05,-2.77,-5.998373908,1.059881267,-2.769453519,-6,1.05,-2.77
-6,1.05,-2.77,-5.998176304,1.066080268,-2.775704924,-6,1.05,-2.77
-6,1.05,-2.77,-6.006062582,1.052609103,-2.783411976,-6,1.05,-2.77
-6,1.05,-2.77,-6.012717498,1.050193946,-2.783833049,-6,1.05,-2.77
-6,1.05,-2.77,-6.006194961,1.055434903,-2.774768757,-6,1.05,-2.77
-6,1.05,-2.77,-6.008663278,1.051592518,-2.776268468,-6,1.05,-2.77
-6,1.05,-2.77,-6.011315885,1.053592711,-2.773184962,-6,1.05,-2.77
-6,1.05,-2.77,-6.014172837,1.051489991,-2.766145404,-6,1.05,-2.77
-6,1.05,-2.77,-6.014115585,1.050871293,-2.766922153,-6,1.05,-2.77
-6,1.05,-2.77,-6.015503584,1.045120728,-2.77133405,-6,1.05,-2.77
-6,1.05,-2.77,-6.014888483,1.040714436,-2.776032802,-6,1.05,-2.77
-6,1.05,-2.77,-6.004789241,1.051254236,-2.766356147,-6,1.05,-2.77
-6,1.05,-2.77,-6.00621664,1.051200515,-2.764281378,-6,1.05,-2.77
-6,1.05,-2.77,-6.007567153,1.04941856,-2.765190784,-6,1.05,-2.77
-6,1.05,-2.77,-6.003918404,1.04858171,-2.764988514,-6,1.05,-2.77
-6,1.05,-2.77,-6.000144347,1.049034927,-2.764748684,-6,1.05,-2.77
-6.120238,1.002113,-2.721149,-6.042344878,1.025779217,-2.765304276,-6.04177909,1.033360707,-2.753025746
-6.58112,1.002087,-2.534502,-6.21296998,0.978903722,-2.75030028,-6.186166963,1.039626342,-2.694572464
-7.056891,1.002087,-2.342282,-6.470960762,0.928259628,-2.698933069,-6.302644687,1.035356955,-2.64754715
-7.801577,1.002087,-2.041411,-6.888801188,0.851168113,-2.624308778,-6.550832421,1.028807659,-2.547202913
-8.445377,1.002087,-1.779112,-7.386484277,0.7848138,-2.510259405,-6.77805329,1.02296783,-2.454557458
-8.94904,1.002087,-1.429645,-7.893462259,0.753009399,-2.313514281,-7.159926512,1.01571255,-2.248684864
-9.121842,1.002087,-1.131493,-8.301399001,0.786879962,-2.023262121,-7.428028976,1.011399102,-2.078899246
-8.844305,1.002087,-0.65868,-8.463756395,0.939385895,-1.559099116,-7.633512365,1.008399481,-1.808326237
