Update Rate,KF Time(ms),KF RMSE,ADR Time(ms),ADR RMSE
0.01,43.00189018,3.455,0,2.059
0.02,51.00274086,3.24,0,2.258
0.03,75.00362396,3.124,0,2.274
0.04,52.00147629,3.065,0,2.261
0.05,45.00317574,3.033,0,2.239
0.06,38.00153732,3.011,0,2.214
0.07,45.00222206,3.001,0,2.187
0.08,45.00484467,2.988,0,2.159
0.09,34.0013504,2.979,0,2.131
0.1,33.00213814,2.974,0,2.102
0.11,31.00180626,2.971,0,2.073
0.12,22.00174332,2.969,0,2.044
0.13,33.00070763,2.966,0,2.015
0.14,42.00315475,2.966,0,1.985
0.15,39.0021801,2.964,0,1.956
0.16,41.00251198,2.963,0,1.927
0.17,50.00352859,2.963,0,1.897
0.18,28.00178528,2.962,0,1.868
0.19,47.00231552,2.963,0,1.839
0.2,39.00289536,2.959,0,1.809
