Xr,Yr,Zr,Qtx,Qty,Qtz
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.0,1.05,-2.77,-6.0,1.05,-2.77
-6.120238,1.002113,-2.721149,-6.04177908952,1.03336070743,-2.75302574642
-6.58112,1.002087,-2.534502,-6.18616696313,1.03962634219,-2.69457246394
-7.056891,1.002087,-2.342282,-6.30264468713,1.03535695473,-2.64754715044
-7.801577,1.002087,-2.041411,-6.55083242076,1.02880765888,-2.547202913
-8.445377,1.002087,-1.779112,-6.77805329004,1.02296782956,-2.45455745755
-8.94904,1.002087,-1.429645,-7.1599265121,1.01571255009,-2.24868486419
-9.121842,1.002087,-1.131493,-7.42802897566,1.01139910171,-2.07889924574
