Xr,Yr,Zr,KFx,KFy,KFz
-6.0,1.05,-2.77,-6.00479967413,1.0543260089,-2.76226313387
-6.0,1.05,-2.77,-6.01028344679,1.05087441243,-2.77059954998
-6.0,1.05,-2.77,-6.00615695055,1.04950195374,-2.78360826812
-6.0,1.05,-2.77,-5.98130431292,1.0640266851,-2.76688588429
-6.0,1.05,-2.77,-5.9803376484,1.05075695675,-2.76614803328
-6.0,1.05,-2.77,-5.98469262939,1.05878580206,-2.77209869862
-6.0,1.05,-2.77,-6.00826890078,1.0367244058,-2.78341342238
-6.0,1.05,-2.77,-6.0113519846,1.0397634491,-2.76738946709
-6.0,1.05,-2.77,-6.00419542331,1.05135692754,-2.75886895467
-6.0,1.05,-2.77,-6.00547525646,1.04438640619,-2.76618758782
-6.0,1.05,-2.77,-5.99766105906,1.0500418275,-2.77231590713
-6.0,1.05,-2.77,-5.98962920731,1.04852982311,-2.77142378294
-6.0,1.05,-2.77,-5.98579070647,1.04654217101,-2.76600155915
-6.0,1.05,-2.77,-5.99531925012,1.04958566662,-2.7669374539
-6.0,1.05,-2.77,-5.99545378255,1.05291088867,-2.76445596474
-6.0,1.05,-2.77,-5.99621797976,1.0579400298,-2.76781730266
-6.0,1.05,-2.77,-5.99837390761,1.05988126677,-2.76945351945
-6.0,1.05,-2.77,-5.99817630436,1.06608026804,-2.77570492421
-6.0,1.05,-2.77,-6.0060625815,1.05260910299,-2.78341197649
-6.0,1.05,-2.77,-6.01271749807,1.05019394571,-2.78383304856
-6.0,1.05,-2.77,-6.0061949607,1.05543490268,-2.77476875661
-6.0,1.05,-2.77,-6.00866327818,1.05159251808,-2.7762684678
-6.0,1.05,-2.77,-6.01131588481,1.05359271132,-2.77318496198
-6.0,1.05,-2.77,-6.01417283669,1.05148999084,-2.7661454036
-6.0,1.05,-2.77,-6.01411558464,1.05087129334,-2.76692215349
-6.0,1.05,-2.77,-6.01550358448,1.045120728,-2.77133405021
-6.0,1.05,-2.77,-6.01488848251,1.04071443642,-2.77603280223
-6.0,1.05,-2.77,-6.00478924073,1.05125423552,-2.76635614702
-6.0,1.05,-2.77,-6.00621664028,1.05120051467,-2.76428137787
-6.0,1.05,-2.77,-6.00756715304,1.04941855979,-2.76519078434
-6.0,1.05,-2.77,-6.00391840431,1.04858171038,-2.76498851382
-6.0,1.05,-2.77,-6.00014434712,1.04903492705,-2.76474868396
-6.120238,1.002113,-2.721149,-6.04234487845,1.02577921694,-2.76530427557
-6.58112,1.002087,-2.534502,-6.21296997977,0.978903721538,-2.75030027953
-7.056891,1.002087,-2.342282,-6.4709607619,0.928259628207,-2.69893306918
-7.801577,1.002087,-2.041411,-6.88880118766,0.8511681127,-2.62430877781
-8.445377,1.002087,-1.779112,-7.38648427713,0.784813800307,-2.51025940475
-8.94904,1.002087,-1.429645,-7.8934622588,0.75300939851,-2.31351428072
-9.121842,1.002087,-1.131493,-8.30139900082,0.786879962426,-2.02326212097
-8.844305,1.002087,-0.65868,-8.46375639486,0.939385894811,-1.55909911559
-8.844305,1.002087,-0.65868,-8.61309418894,1.05145647909,-1.17955379962
-8.524838,1.002087,-0.572833,-8.65083846915,1.17057038693,-0.814844315752
-8.01609,1.002087,-0.456872,-8.53666214901,1.32083164014,-0.430325912934
-7.38838,1.002087,-0.307377,-8.27474218297,1.48613922344,-0.0430422299476
-7.086236,1.002087,-0.230596,-8.03214880802,1.58619912031,0.263748602945
-7.086236,1.002087,-0.230596,-7.90535485876,1.58362704005,0.436269497869
-7.019796,1.002087,-0.132241,-7.8193911744,1.53835181718,0.556219335804
-7.539274,1.002087,0.042603,-7.92954708708,1.39838786365,0.587417829534
-8.054072,1.002087,0.267199,-8.15277288171,1.23230481651,0.601913282514
-8.097117,1.002087,0.277773,-8.35272643148,1.08503357386,0.612943462932
-8.097117,1.002087,0.277773,-8.5043709982,0.973857804451,0.640644953289
-8.319438,1.002087,0.393695,-8.66303524871,0.886603142531,0.685578078173
-8.316904,1.002087,0.568143,-8.74488645471,0.870457320754,0.806688069442
-8.346064,1.002087,1.07624,-8.74157402221,0.928973196931,1.06327758718
-8.454289,1.002087,1.256424,-8.75260545453,0.979097116691,1.31565496018
-8.857805,1.002087,1.438641,-8.87000906261,0.973994890328,1.51172964879
-10.025999,1.002087,1.459457,-9.33134264649,0.783738673863,1.49975373439
-10.699638,1.002087,1.419813,-9.86858115835,0.584037730246,1.44815731264
